year,country,side_a,side_b,deaths_a,deaths_b,deaths_civilians
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,9,0
1997,Turkey,Government of Turkey,PKK,2,12,0
1997,Turkey,Government of Turkey,PKK,9,0,0
1997,Turkey,Government of Turkey,PKK,0,9,0
1997,Turkey,Government of Turkey,PKK,0,33,0
1997,Turkey,Government of Turkey,PKK,0,6,0
1997,Turkey,Government of Turkey,PKK,0,2,0
1997,Turkey,Government of Turkey,PKK,0,4,0
1997,Turkey,Government of Turkey,PKK,9,0,0
1997,Turkey,Government of Turkey,PKK,2,1,0
1997,Turkey,Government of Turkey,PKK,5,2,0
2000,Turkey,Government of Turkey,PKK,1,4,0
2000,Turkey,Government of Turkey,PKK,1,11,0
1997,Turkey,Government of Turkey,PKK,0,50,0
1997,Turkey,Government of Turkey,PKK,0,25,0
1997,Turkey,Government of Turkey,PKK,1,5,0
1997,Turkey,Government of Turkey,PKK,0,21,0
1997,Turkey,Government of Turkey,PKK,0,4,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1996,Turkey,Government of Turkey,PKK,0,5,0
1999,Turkey,Government of Turkey,PKK,0,1,1
1999,Turkey,Government of Turkey,PKK,0,1,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,2,20,0
1996,Turkey,Government of Turkey,PKK,3,4,0
1996,Turkey,Government of Turkey,PKK,0,15,0
1996,Turkey,Government of Turkey,PKK,0,8,0
1996,Turkey,Government of Turkey,PKK,2,11,0
1996,Turkey,Government of Turkey,PKK,0,25,0
1996,Turkey,Government of Turkey,PKK,1,0,0
1996,Turkey,Government of Turkey,PKK,0,15,0
1996,Turkey,Government of Turkey,PKK,4,7,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,0,6,0
1996,Turkey,Government of Turkey,PKK,11,2,0
1996,Turkey,Government of Turkey,PKK,2,0,0
1996,Turkey,Government of Turkey,PKK,0,8,0
1996,Turkey,Government of Turkey,PKK,6,17,0
1996,Turkey,Government of Turkey,PKK,2,0,1
1996,Turkey,Government of Turkey,PKK,3,0,0
1996,Turkey,Government of Turkey,PKK,2,4,0
1996,Turkey,Government of Turkey,PKK,1,0,0
1996,Turkey,Government of Turkey,PKK,3,0,0
1996,Turkey,Government of Turkey,PKK,1,34,0
1996,Turkey,Government of Turkey,PKK,0,8,0
1996,Turkey,Government of Turkey,PKK,1,0,0
1996,Turkey,Government of Turkey,PKK,0,0,0
1996,Turkey,Government of Turkey,PKK,0,18,0
1996,Turkey,Government of Turkey,PKK,2,0,0
1992,Turkey,Government of Turkey,PKK,0,2,0
1996,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,2,32,0
1998,Turkey,Government of Turkey,PKK,0,5,0
1997,Turkey,Government of Turkey,PKK,0,9,0
1996,Turkey,Government of Turkey,PKK,3,0,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,0,41,0
1996,Turkey,Government of Turkey,PKK,0,12,0
1996,Turkey,Government of Turkey,PKK,0,32,0
1996,Turkey,Government of Turkey,PKK,4,43,0
1997,Turkey,Government of Turkey,PKK,0,1,0
1997,Turkey,Government of Turkey,PKK,2,0,0
1996,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,1,30,0
1997,Turkey,Government of Turkey,PKK,0,9,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1998,Turkey,Government of Turkey,PKK,2,6,0
1998,Turkey,Government of Turkey,PKK,0,7,0
1998,Turkey,Government of Turkey,PKK,0,6,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,8,0,0
1999,Turkey,Government of Turkey,PKK,2,20,0
1997,Turkey,Government of Turkey,PKK,1,8,0
